Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
SC0,26/01/2020,15:00,Hearts,Rangers,2,1,H,0,0,D,S McLean,8,11,5,2,18,7,4,6,1,2,0,0
SC0,29/01/2020,19:45,Rangers,Ross County,2,0,H,1,0,H,D Robertson,13,2,4,0,15,15,11,4,2,4,0,0
SC0,29/01/2020,19:45,St Johnstone,Celtic,0,3,A,0,3,A,J Beaton,8,15,4,7,4,8,6,3,2,0,0,0
SC0,01/02/2020,15:00,Hibernian,St Mirren,2,2,D,2,2,D,D Munro,9,8,5,3,14,11,11,4,2,1,0,0
SC0,01/02/2020,15:00,Kilmarnock,Ross County,3,1,H,0,1,A,W Collum,18,7,6,5,10,16,5,3,1,3,0,0
SC0,01/02/2020,15:00,Livingston,Motherwell,1,0,H,0,0,D,J Beaton,16,1,7,0,11,16,14,1,2,3,0,0
SC0,01/02/2020,15:00,Rangers,Aberdeen,0,0,D,0,0,D,A Dallas,16,4,5,2,9,18,10,1,3,4,0,0
SC0,01/02/2020,15:00,St Johnstone,Hearts,3,3,D,1,2,A,G Aitken,14,7,8,4,17,16,8,7,2,3,0,0
SC0,02/02/2020,12:30,Hamilton,Celtic,1,4,A,1,1,D,N Walsh,4,21,2,6,12,6,2,15,3,2,1,0
SC0,05/02/2020,19:45,Aberdeen,St Johnstone,0,1,A,0,1,A,K Clancy,7,4,3,2,19,11,5,2,2,2,0,0
SC0,05/02/2020,19:45,Hearts,Kilmarnock,2,3,A,0,2,A,D Munro,15,7,11,5,15,9,12,6,4,1,0,1
SC0,05/02/2020,19:45,Motherwell,Celtic,0,4,A,0,1,A,D Robertson,11,18,4,6,15,8,4,2,1,0,0,0
SC0,05/02/2020,19:45,Rangers,Hibernian,2,1,H,1,1,D,B Madden,16,5,7,4,12,15,18,3,1,2,0,0
SC0,05/02/2020,19:45,Ross County,Livingston,2,0,H,1,0,H,N Walsh,5,10,2,2,13,8,3,5,3,3,0,0
SC0,05/02/2020,19:45,St Mirren,Hamilton,1,1,D,0,1,A,A Newlands,11,9,2,2,15,12,6,5,2,1,0,0
SC0,11/02/2020,19:45,Hamilton,Aberdeen,1,3,A,0,3,A,G Aitken,3,8,1,5,9,14,4,8,0,1,0,0
SC0,12/02/2020,19:45,Celtic,Hearts,5,0,H,1,0,H,W Collum,22,5,12,2,17,16,10,6,1,2,0,1
SC0,12/02/2020,19:45,Hibernian,Ross County,3,0,H,2,0,H,S McLean,10,4,6,2,8,13,6,5,1,3,0,0
SC0,12/02/2020,19:45,Kilmarnock,Rangers,2,1,H,0,1,A,J Beaton,7,14,2,4,10,8,9,3,3,3,0,0
SC0,12/02/2020,19:45,Livingston,St Mirren,2,1,H,1,0,H,D Munro,10,9,4,4,13,13,6,5,0,1,0,0
SC0,12/02/2020,19:45,St Johnstone,Motherwell,2,1,H,1,1,D,N Walsh,11,5,4,1,10,18,4,5,0,2,0,1
SC0,15/02/2020,15:00,Hearts,Hamilton,2,2,D,0,2,A,K Clancy,17,3,8,3,17,11,7,1,2,1,0,1
SC0,15/02/2020,15:00,Ross County,St Johnstone,1,1,D,0,1,A,C Steven,5,13,2,5,11,5,7,3,1,1,0,0
SC0,16/02/2020,12:00,Aberdeen,Celtic,1,2,A,1,1,D,A Dallas,6,6,3,4,10,14,5,3,2,1,0,0
SC0,16/02/2020,15:00,Rangers,Livingston,1,0,H,0,0,D,E Anderson,11,3,4,2,4,14,10,4,0,3,0,0
SC0,16/02/2020,16:30,Kilmarnock,Hibernian,1,2,A,1,2,A,A Muir,12,11,7,6,9,11,10,6,2,2,0,0
SC0,22/02/2020,15:00,Aberdeen,Ross County,1,2,A,1,1,D,G Duncan,8,7,2,5,11,10,4,2,0,1,1,0
SC0,22/02/2020,15:00,Hamilton,Motherwell,0,0,D,0,0,D,C Steven,16,11,3,5,14,15,5,5,2,3,0,1
SC0,22/02/2020,15:00,Hibernian,Livingston,1,1,D,0,0,D,A Newlands,7,7,5,1,8,12,11,5,1,1,0,0
SC0,23/02/2020,13:30,St Johnstone,Rangers,2,2,D,1,0,H,W Collum,7,21,4,9,9,5,5,6,1,0,0,0
SC0,23/02/2020,15:00,Celtic,Kilmarnock,3,1,H,2,1,H,K Clancy,30,3,13,1,6,9,7,2,1,1,0,1
SC0,25/02/2020,19:45,Motherwell,St Mirren,1,2,A,1,0,H,D Munro,14,9,6,3,13,9,11,6,1,5,0,0
SC0,03/03/2020,19:45,Hibernian,Hearts,1,3,A,0,0,D,K Clancy,8,10,1,4,12,20,5,7,3,2,0,0
SC0,04/03/2020,19:45,Kilmarnock,Aberdeen,2,2,D,2,1,H,A Newlands,16,7,9,4,10,16,9,1,0,5,0,0
SC0,04/03/2020,19:45,Livingston,Celtic,2,2,D,1,1,D,W Collum,5,13,4,7,13,6,4,7,3,1,0,0
SC0,04/03/2020,19:45,Motherwell,Ross County,4,1,H,2,1,H,A Muir,17,7,8,4,10,13,8,5,2,3,0,0
SC0,04/03/2020,19:45,Rangers,Hamilton,0,1,A,0,0,D,N Walsh,31,8,9,3,6,9,16,1,1,1,0,0
SC0,04/03/2020,19:45,St Mirren,St Johnstone,0,0,D,0,0,D,E Anderson,15,9,4,2,10,13,9,5,2,1,0,1
SC0,07/03/2020,15:00,Aberdeen,Hibernian,3,1,H,0,1,A,J Beaton,15,6,5,4,11,12,7,0,0,2,0,1
SC0,07/03/2020,15:00,Celtic,St Mirren,5,0,H,2,0,H,G Duncan,19,8,16,4,9,5,10,1,1,2,0,0
SC0,07/03/2020,15:00,Hamilton,Kilmarnock,1,0,H,0,0,D,W Collum,11,14,2,5,12,11,6,9,2,2,1,0
SC0,07/03/2020,15:00,Hearts,Motherwell,1,1,D,0,1,A,D Robertson,12,11,2,5,11,12,7,5,2,3,0,0
SC0,07/03/2020,15:00,St Johnstone,Livingston,1,0,H,0,0,D,K Clancy,3,9,3,4,10,11,5,7,1,2,0,0
SC0,08/03/2020,12:00,Ross County,Rangers,0,1,A,0,0,D,A Dallas,3,12,2,7,13,8,5,15,4,0,0,0
SC0,11/03/2020,19:45,St Mirren,Hearts,1,0,H,0,0,D,A Muir,8,5,3,1,16,19,5,3,0,2,0,0
